Point Que,Real Distance,Edge 1 Distance,Edge 2 Distance,Angle 1 Distance,Angle 2 Distance
1,1330,675.8588872182619,-1295.1589568116158,400,402
2,1344,674.6693894052148,-1391.5165881508074,400,354
3,1302,672.0188667704766,-1201.968449673225,400,414
4,1365,635.60281473459,-1410.496958328968,400,385
5,1397,634.2450829834161,-1214.7726628640758,400,364
6,1383,669.6404916885491,-1333.3850691664202,400,348
7,1297,646.3088420624379,-1230.7201278091427,400,471
8,1279,659.8940759831394,-1246.6211032021147,400,301
9,1393,658.5408214092578,-1388.2470471768659,400,308
10,1258,642.0377775953128,-1349.6948535382621,400,355
11,1379,637.3796880457814,-1389.5206379201709,400,344
12,1351,640.16046888393,-1310.5309815318055,400,450
13,1362,653.9058303309573,-1466.2297267365793,400,306
14,1339,646.0226326260272,-1359.3856306723524,400,390
15,1352,632.4668875688598,-1490.3578389579072,400,358
16,1358,648.6083385213867,-1388.8469579023322,400,434
17,1310,699.2726636128411,-1422.6801986030175,400,437
18,1298,671.4990155466064,-1449.2575199906883,400,442
19,1318,694.6620175352366,-1220.2964314725466,400,313
20,1355,671.8256700144015,-1491.4353791691576,400,347
21,1342,638.87227040217,-1403.6154260768328,400,332
22,1295,682.4340928431302,-1367.6358409142406,400,350
23,1299,629.2510510791593,-1300.7100747864615,400,378
24,1307,687.3981172389032,-1381.3225061643202,400,306
25,1352,639.3167453403445,-1283.9823772983038,400,348
26,1302,652.1256206554765,-1267.2998565405503,400,356
27,1253,661.3262709107836,-1356.4855046221808,400,324
28,1244,679.8868716154128,-1372.2536758387255,400,359
29,1243,667.0389154556939,-1281.1804906235334,400,448
30,1305,674.1896726884845,-1334.0787007832178,400,392
31,1394,649.1248811487998,-1239.0762464636132,400,468
32,1388,684.1264006379256,-1429.5209836487554,400,424
33,1393,650.9599434123465,-1383.1648238718321,400,360
34,1399,633.477517549281,-1255.79165408282,400,474
35,1268,660.9231862096611,-1307.3667132444393,400,441
36,1322,686.875381198304,-1395.5181095308856,400,334
37,1292,689.4533379031453,-1478.9614336325953,400,321
38,1302,630.3939863338279,-1303.6518235340336,400,493
39,1360,624.3839543993411,-1386.477016762994,400,364
40,1297,687.0933544905206,-1318.879447719231,400,474
41,1265,684.5218030284199,-1248.5136170176308,400,316
42,1385,655.9098860297087,-1201.1675433969322,400,452
43,1360,646.6503019514159,-1262.5068884838174,400,411
44,1253,688.2117708543719,-1338.2365841356223,400,327
45,1317,679.6532654431189,-1485.0283905697686,400,448
46,1267,693.7397697880763,-1376.5368949364708,400,359
47,1343,628.0520175290042,-1378.213115216715,400,308
48,1278,693.3040896138143,-1317.2781249583543,400,421
49,1334,643.5812963305307,-1467.8329925144353,400,312
50,1255,663.2793734456457,-1258.626233115517,400,458
51,1313,624.7874301501279,-1393.7865702466258,400,343
52,1323,638.3269776761731,-1362.463615675568,400,325
53,1330,676.6836131581388,-1422.1879451469324,400,320
54,1267,658.7503215133253,-1296.456860451598,400,363
55,1332,640.3952165840975,-1410.9576070229257,400,406
56,1311,669.3967529227489,-1257.8444559856387,400,396
57,1351,619.0805505722915,-1498.0789362947105,400,425
58,1269,696.377759920874,-1359.1023701171289,400,414
59,1359,652.4783813103677,-1248.4429583461406,400,475
60,1271,661.745849361438,-1423.7836286225643,400,464
61,1248,639.8960567648384,-1275.1164696963126,400,332
62,1293,639.4667381525436,-1321.5826878700286,400,369
63,1340,679.336429788893,-1332.3699306650096,400,406
64,1385,629.109779960401,-1220.6144226243798,400,392
65,1368,688.1826273394674,-1484.9029988451052,400,320
66,1260,668.4534311527186,-1284.295667271439,400,304
67,1267,628.9117902275939,-1425.5414245662869,400,343
68,1341,675.5117746003838,-1260.9053590417554,400,447
69,1321,656.9697239289609,-1304.9031886103223,400,386
70,1349,692.0829239382573,-1323.7516887466256,400,308
71,1361,684.3521771416597,-1227.8681673654733,400,392
72,1378,692.6144689566348,-1301.2520112335055,400,342
73,1252,694.0375110899378,-1498.9153811145047,400,311
74,1348,650.1824014532159,-1385.3194630244473,400,495
75,1373,647.5807763654011,-1208.4973333374746,400,437
76,1316,696.4546335714493,-1225.847390569425,400,301
77,1352,656.9220709333516,-1390.3838705568037,400,496
78,1303,661.5974158038129,-1409.0565920534864,400,367
79,1398,669.6004455500204,-1424.536630199452,400,315
80,1396,690.3823530053473,-1494.7471451884896,400,368
81,1382,651.6466211226987,-1240.125717149964,400,401
82,1292,617.8742254674519,-1417.768876331844,400,485
83,1379,680.4895824900924,-1205.0424206194084,400,430
84,1284,679.6715147981666,-1305.802179472461,400,347
85,1333,629.2155503277017,-1478.0527613527813,400,405
86,1249,683.896898850681,-1403.0820895612903,400,399
87,1303,627.5071495079313,-1232.001791229163,400,476
88,1376,668.6541651918888,-1422.8849049894966,400,354
89,1389,624.3091402651921,-1359.8830269411515,400,404
90,1334,673.7358866901425,-1455.2365172554169,400,323
91,1378,685.414801707427,-1237.8669428941178,400,441
92,1242,658.9448976622353,-1414.5322567301262,400,490
93,1331,688.4516870926566,-1463.3731556839487,400,448
94,1308,694.9486524258825,-1431.28612468298,400,312
95,1317,698.7539496415707,-1339.5896715173612,400,385
96,1320,637.3532210763533,-1322.1363082498578,400,437
97,1306,630.7523790433225,-1386.7287749110578,400,353
98,1266,666.7081371699312,-1224.915840948201,400,445
99,1335,644.451918976829,-1355.706209981509,400,320
100,1266,697.1797457769757,-1436.668419944483,400,319
101,1255,649.7088148045266,-1393.0271147045696,400,341
102,1391,617.2047790275441,-1499.8780611845234,400,498
103,1342,683.4088678170211,-1361.8147819277385,400,389
104,1334,624.993368077841,-1219.1102161007705,400,483
105,1324,692.0830365571388,-1249.6728263932155,400,337
106,1314,625.7117168525182,-1419.411547380602,400,454
107,1382,656.7220742094752,-1206.6375365839322,400,387
108,1352,645.5925320380984,-1237.7344340790914,400,420
109,1285,658.5571360989578,-1477.6080827141132,400,399
110,1365,674.307049902054,-1489.427344511202,400,404
111,1372,638.0850486134611,-1427.955528768257,400,370
112,1316,636.4396556197783,-1347.3676003362727,400,420
113,1355,620.3082787937843,-1364.1592197623233,400,337
114,1269,689.8071803627963,-1273.7907561008421,400,372
115,1324,634.6232787693549,-1290.2565363940062,400,445
116,1253,630.4326975867339,-1370.084738713541,400,376
117,1308,657.9875134112074,-1496.2198628845454,400,499
118,1290,692.523033008292,-1360.5752968974296,400,307
119,1276,625.7426372057588,-1410.339964006031,400,364
120,1248,683.8371878490226,-1406.0670651030603,400,416
121,1314,623.1569188042857,-1430.5893068629232,400,463
122,1308,680.4405621806824,-1310.3239092763288,400,490
123,1256,619.6566849640215,-1266.2232655402122,400,357
124,1351,621.6781479371873,-1309.8375233563402,400,345
125,1319,658.0098839603107,-1359.3749560643223,400,340
126,1243,674.5634446152768,-1464.5744898286457,400,369
127,1373,675.9706908337882,-1228.6616490667134,400,489
128,1240,649.0912123850542,-1461.790540055462,400,463
129,1257,697.4657561527442,-1308.094010636343,400,312
130,1367,662.9795764326714,-1258.9185135352539,400,433
131,1352,641.2026018490515,-1395.253004240385,400,479
132,1386,658.9558286433497,-1295.614489933953,400,365
133,1380,671.720260441814,-1428.3858776314412,400,353
134,1360,659.7913195493088,-1496.2127432533669,400,390
135,1315,621.5048106112641,-1363.3787239307887,400,431
136,1337,667.686099391967,-1230.1441180060638,400,491
137,1366,637.1862648065393,-1445.6372037057922,400,439
138,1348,679.8282330701925,-1295.7980046062066,400,393
139,1367,649.9736336535959,-1365.8334968762103,400,474
140,1293,692.0649536060915,-1276.8488132233374,400,430
141,1311,622.5774234049945,-1284.9117817258325,400,357
142,1377,684.617369871435,-1413.8140607346845,400,443
143,1289,660.8331466565135,-1323.8920101213548,400,430
144,1332,640.3629366868013,-1415.7934525741277,400,366
145,1326,650.7849439815272,-1296.325723022217,400,432
146,1241,686.9270973331362,-1402.3625507477338,400,427
147,1299,699.3211288589242,-1278.6972528946244,400,305
148,1399,653.5305135250833,-1248.7531566277282,400,425
149,1374,625.9210471635622,-1384.6149485567296,400,348
150,1271,636.2787160055295,-1295.7569201089768,400,385
151,1253,665.5216287670444,-1324.2529198979119,400,478
152,1269,673.1740275671729,-1390.1176842175232,400,356
153,1318,686.7813815748789,-1339.8172746056075,400,442
154,1386,687.8058200909153,-1400.5806801059205,400,307
155,1260,647.2875654768675,-1212.3231134965692,400,415
156,1366,678.9016923061199,-1408.009160305979,400,329
157,1291,642.3298139650772,-1493.7578406747994,400,312
158,1299,667.5553469873086,-1446.0296493930884,400,350
159,1381,640.7210342456589,-1251.1946925987418,400,364
160,1400,633.84926817208,-1289.0962000779562,400,329
161,1327,628.419740708555,-1348.9264413865585,400,498
162,1347,675.1962544273462,-1229.9461234164914,400,392
163,1263,647.1807153833668,-1466.5512984951865,400,305
164,1273,660.3030842500698,-1433.9688969300416,400,366
165,1341,698.621149716938,-1312.607306590241,400,376
166,1258,684.1202471045231,-1382.516724016306,400,499
167,1399,628.6890760238979,-1239.6778380856451,400,419
168,1313,625.4476508625216,-1395.5893883846393,400,432
169,1256,623.6002126763909,-1269.7487857977753,400,402
170,1281,676.074956079987,-1346.4384395548082,400,468
171,1298,665.0485444229806,-1257.662771056564,400,393
172,1284,682.0723347110276,-1415.364116189105,400,341
173,1307,698.269164995922,-1471.7879394970855,400,492
174,1284,628.6047882586778,-1277.917455446069,400,351
175,1391,618.2955474872579,-1468.5463484085842,400,388
176,1367,620.3893130952301,-1203.537642101192,400,460
177,1382,684.8109461003334,-1434.5514335327002,400,410
178,1368,626.2257786260454,-1346.4312512766794,400,465
179,1307,652.7309354519426,-1332.3675916775705,400,314
180,1317,676.2348012810774,-1249.8398828409318,400,349
181,1256,643.8523664420748,-1353.5647358785568,400,344
182,1293,625.2969907231378,-1354.95055301182,400,412
183,1277,649.6812510714067,-1232.2742336064068,400,383
184,1363,654.7712246490715,-1419.65335666862,400,331
185,1317,681.662352452805,-1320.1241521290947,400,466
186,1331,656.1234505209754,-1266.9346897185044,400,363
187,1391,680.1098095372481,-1364.4063052942474,400,452
188,1352,622.8172888212185,-1389.1684400992817,400,478
189,1291,690.9002013072311,-1315.5508945191775,400,376
190,1317,667.7309131505083,-1448.5947766778315,400,473
191,1296,618.7497741073573,-1263.7537415679624,400,342
192,1257,666.6388218620649,-1302.2053172605529,400,452
193,1316,647.6828878545417,-1490.57325601494,400,395
194,1244,669.0327766549071,-1241.017147450883,400,471
195,1257,685.0482281941873,-1275.5862473313334,400,438
196,1324,626.2870115953572,-1216.4867907342382,400,429
197,1302,643.2375536254191,-1480.2933816502705,400,466
198,1278,649.4261814632425,-1401.6267635292998,400,361
199,1274,671.2984789679577,-1452.3325200281367,400,421
200,1374,684.8111470502567,-1343.3356203627657,400,386
201,1367,662.6769255786252,-1237.6839867722845,400,460
